"Ticker","Nome","Negócios","Última (R$)","Variação"
"B3SA3","B3","61.925.500","13,24","+0,76%"
"PETR4","Petrobras","52.432.400","31,05","+3,33%"
"ITSA4","Itaúsa","50.137.300","10,80","+0,93%"
"BBDC4","Banco Bradesco","48.251.000","16,32","+3,10%"
"COGN3","Cogna","42.691.500","2,96","-1,99%"
"GOLL4","GOL","42.321.200","0,79","-26,17%"
"BBAS3","Banco do Brasil","32.228.100","21,40","-0,65%"
"MGLU3","Magazine Luiza","27.378.300","9,54","+0,42%"
"AZUL4","Azul","25.179.700","0,96","-3,03%"
"ABEV3","Ambev","22.849.900","13,91","+0,80%"
"RAIL3","Rumo","21.512.200","19,23","+0,42%"
"GGBR4","Gerdau","20.858.600","17,00","-3,68%"
"MRVE3","MRV","16.642.400","6,19","+2,48%"
"CVCB3","CVC","16.364.400","2,53","-3,07%"
"ITUB4","Itaú Unibanco","16.180.000","36,33","+0,92%"
"BBDC3","Banco Bradesco","16.162.600","14,08","+2,70%"
"PETR3","Petrobras","15.665.100","33,33","+2,93%"
"IFCM3","Infracommerce","14.644.100","0,06","-14,29%"
"CSNA3","Siderúrgica Nacional","13.929.300","8,48","-1,85%"
"VALE3","Vale","13.639.700","53,18","-0,88%"
"BEEF3","Minerva","13.568.600","5,07","-0,59%"
"VAMO3","Grupo Vamos","12.489.700","4,73","+1,07%"
"LREN3","Lojas Renner","11.942.000","18,47","+0,87%"
"USIM5","Usiminas","11.605.000","5,17","+0,00%"
"TIMS3","TIM","11.556.400","20,95","+3,51%"
"VIVT3","Vivo","11.223.200","29,70","+2,41%"
"PRIO3","PetroRio","11.168.400","43,31","+1,74%"
"BRAV3","3R Petroleum","10.377.900","20,38","+3,03%"
"RAIZ4","Raízen","9.752.400","1,90","-1,04%"
"ASAI3","Assaí","9.696.700","11,22","+1,91%"
"VBBR3","Vibra Energia","9.358.600","21,01","+2,49%"
"SRNA3","Serena Energia","9.346.400","11,53","+0,09%"
"CPLE6","Copel","9.342.600","12,37","-0,32%"
"MRFG3","Marfrig","9.097.400","25,58","+0,35%"
"ANIM3","Ânima Educação","8.751.300","4,24","+2,42%"
